,,accuracy,accuracy,minority_recall,minority_recall,macro_f1,macro_f1,balanced_accuracy,balanced_accuracy,mcc,mcc,equal_opportunity_diff,equal_opportunity_diff,fnr_diff,fnr_diff
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
imbalance,min_level,,,,,,,,,,,,,,
50/50,100,0.7193,0.1068,0.7117,0.1349,0.7189,0.1071,0.7193,0.1068,0.4393,0.2135,-0.0532,0.0962,0.0532,0.0962
50/50,75,0.7194,0.1054,0.7137,0.1343,0.719,0.1057,0.7194,0.1054,0.4395,0.2108,-0.0528,0.0974,0.0528,0.0974
50/50,50,0.718,0.1055,0.7089,0.1305,0.7176,0.1058,0.718,0.1055,0.4366,0.211,-0.0554,0.1027,0.0554,0.1027
50/50,25,0.7151,0.1079,0.7107,0.134,0.7147,0.1082,0.7151,0.1079,0.431,0.2159,-0.0522,0.1091,0.0522,0.1091
80/20,100,0.8339,0.037,0.3233,0.2492,0.643,0.138,0.6424,0.116,0.3462,0.2214,-0.0529,0.0834,0.0529,0.0834
80/20,75,0.8322,0.0367,0.3185,0.2481,0.6394,0.1378,0.6396,0.1154,0.3374,0.2229,-0.062,0.0869,0.062,0.0869
80/20,50,0.8328,0.0375,0.3224,0.2462,0.6424,0.1368,0.6414,0.1151,0.3419,0.223,-0.0523,0.0727,0.0523,0.0727
80/20,25,0.8294,0.0362,0.3215,0.2352,0.6412,0.1299,0.6389,0.1099,0.3342,0.2147,-0.058,0.0945,0.058,0.0945
90/10,100,0.9089,0.0123,0.2109,0.1959,0.61,0.1214,0.5987,0.0936,0.2644,0.2213,-0.0544,0.0791,0.0544,0.0791
90/10,75,0.9096,0.0125,0.2148,0.197,0.6129,0.1215,0.6008,0.0941,0.275,0.217,-0.0495,0.0814,0.0495,0.0814
90/10,50,0.909,0.0126,0.2095,0.191,0.6107,0.1194,0.5981,0.0915,0.269,0.2163,-0.0407,0.0714,0.0407,0.0714
90/10,25,0.9078,0.0134,0.2053,0.1914,0.6072,0.1186,0.5955,0.0918,0.2595,0.2189,-0.0346,0.0779,0.0346,0.0779
95/5,100,0.9527,0.004,0.1333,0.1315,0.5839,0.0924,0.5646,0.0642,0.2117,0.1899,-0.0253,0.0496,0.0253,0.0496
95/5,75,0.9528,0.0042,0.135,0.135,0.5846,0.0939,0.5654,0.066,0.2152,0.1908,-0.0315,0.0595,0.0315,0.0595
95/5,50,0.9525,0.0042,0.136,0.1355,0.5846,0.093,0.5657,0.0661,0.2124,0.1892,-0.0327,0.083,0.0327,0.083
95/5,25,0.952,0.0051,0.1394,0.1398,0.5853,0.0939,0.567,0.0681,0.2124,0.1903,0.0051,0.0911,-0.0051,0.0911
