classifier,imbalance,accuracy,minority_recall,macro_f1,balanced_accuracy,mcc,equal_opportunity_diff,fnr_diff
logistic_regression,50/50,0.7146,0.6927,0.7138,0.7146,0.4304,-0.0782,0.0782
logistic_regression,80/20,0.8335,0.3027,0.6363,0.6344,0.3394,-0.0806,0.0806
logistic_regression,90/10,0.909,0.1805,0.6003,0.5852,0.2625,-0.0611,0.0611
logistic_regression,95/5,0.9525,0.1034,0.5687,0.5503,0.1979,-0.0213,0.0213
random_forest,50/50,0.7152,0.7074,0.715,0.7152,0.4306,-0.0414,0.0414
random_forest,80/20,0.8309,0.3011,0.6242,0.6322,0.3196,-0.0474,0.0474
random_forest,90/10,0.9089,0.2112,0.6034,0.5988,0.2482,-0.0424,0.0424
random_forest,95/5,0.9522,0.1402,0.5827,0.5676,0.1956,-0.0347,0.0347
xgboost,50/50,0.7241,0.7336,0.724,0.7241,0.4488,-0.0407,0.0407
xgboost,80/20,0.8318,0.3604,0.664,0.6551,0.3608,-0.0409,0.0409
xgboost,90/10,0.9087,0.2387,0.6269,0.6109,0.2903,-0.031,0.031
xgboost,95/5,0.9528,0.1642,0.6024,0.5792,0.2452,-0.0074,0.0074
