min_type,imbalance,min_level,accuracy,minority_recall,macro_f1,balanced_accuracy,mcc,equal_opportunity_diff,fnr_diff
horizontal,50/50,100,0.7193,0.7117,0.7189,0.7193,0.4393,-0.0532,0.0532
horizontal,50/50,75,0.7189,0.7142,0.7185,0.7189,0.4384,-0.0525,0.0525
horizontal,50/50,50,0.7167,0.7066,0.7165,0.7167,0.4338,-0.0606,0.0606
horizontal,50/50,25,0.7151,0.7132,0.7149,0.7151,0.4306,-0.0557,0.0557
horizontal,80/20,100,0.8339,0.3233,0.643,0.6424,0.3462,-0.0529,0.0529
horizontal,80/20,75,0.8315,0.3161,0.6369,0.6383,0.3333,-0.0684,0.0684
horizontal,80/20,50,0.833,0.3293,0.6441,0.6441,0.3428,-0.0596,0.0596
horizontal,80/20,25,0.8273,0.3261,0.641,0.6394,0.3292,-0.0771,0.0771
horizontal,90/10,100,0.9089,0.2109,0.61,0.5987,0.2644,-0.0544,0.0544
horizontal,90/10,75,0.9099,0.2171,0.6145,0.602,0.2802,-0.0438,0.0438
horizontal,90/10,50,0.9089,0.2077,0.61,0.5972,0.2647,-0.0354,0.0354
horizontal,90/10,25,0.9063,0.1982,0.6026,0.5915,0.2458,-0.0219,0.0219
horizontal,95/5,100,0.9527,0.1333,0.5839,0.5646,0.2117,-0.0253,0.0253
horizontal,95/5,75,0.9528,0.1337,0.5836,0.5648,0.2128,-0.0381,0.0381
horizontal,95/5,50,0.9524,0.1352,0.584,0.5652,0.2091,-0.0458,0.0458
horizontal,95/5,25,0.9514,0.1428,0.5859,0.5683,0.2086,0.0324,-0.0324
vertical,50/50,100,0.7193,0.7117,0.7189,0.7193,0.4393,-0.0532,0.0532
vertical,50/50,75,0.7199,0.7133,0.7195,0.7199,0.4406,-0.0531,0.0531
vertical,50/50,50,0.7192,0.7112,0.7188,0.7192,0.4394,-0.0503,0.0503
vertical,50/50,25,0.7151,0.7082,0.7145,0.7151,0.4314,-0.0486,0.0486
vertical,80/20,100,0.8339,0.3233,0.643,0.6424,0.3462,-0.0529,0.0529
vertical,80/20,75,0.8328,0.3209,0.6419,0.6409,0.3414,-0.0555,0.0555
vertical,80/20,50,0.8326,0.3154,0.6408,0.6386,0.3411,-0.0449,0.0449
vertical,80/20,25,0.8315,0.3169,0.6414,0.6385,0.3392,-0.0388,0.0388
vertical,90/10,100,0.9089,0.2109,0.61,0.5987,0.2644,-0.0544,0.0544
vertical,90/10,75,0.9092,0.2125,0.6113,0.5996,0.2698,-0.0553,0.0553
vertical,90/10,50,0.9092,0.2113,0.6114,0.599,0.2734,-0.046,0.046
vertical,90/10,25,0.9093,0.2124,0.6119,0.5996,0.2733,-0.0473,0.0473
vertical,95/5,100,0.9527,0.1333,0.5839,0.5646,0.2117,-0.0253,0.0253
vertical,95/5,75,0.9529,0.1363,0.5857,0.5661,0.2176,-0.025,0.025
vertical,95/5,50,0.9527,0.1367,0.5851,0.5662,0.2157,-0.0197,0.0197
vertical,95/5,25,0.9526,0.136,0.5846,0.5658,0.2162,-0.0221,0.0221
