DV,Factor,group1,group2,meandiff,p-adj,lower,upper,reject
accuracy,imbalance,50/50,80/20,0.1141,0.0,0.1009,0.1274,True
accuracy,imbalance,50/50,90/10,0.1909,0.0,0.1776,0.2041,True
accuracy,imbalance,50/50,95/5,0.2346,0.0,0.2213,0.2478,True
accuracy,imbalance,80/20,90/10,0.0768,0.0,0.0635,0.09,True
accuracy,imbalance,80/20,95/5,0.1204,0.0,0.1072,0.1337,True
accuracy,imbalance,90/10,95/5,0.0437,0.0,0.0304,0.0569,True
accuracy,min_level,100,25,-0.0027,0.9927,-0.0274,0.0221,False
accuracy,min_level,100,50,-0.0006,0.9999,-0.0254,0.0241,False
accuracy,min_level,100,75,-0.0002,1.0,-0.025,0.0246,False
accuracy,min_level,25,50,0.002,0.9968,-0.0228,0.0268,False
accuracy,min_level,25,75,0.0024,0.9945,-0.0224,0.0272,False
accuracy,min_level,50,75,0.0004,1.0,-0.0244,0.0252,False
accuracy,min_level within 50/50,100,25,-0.0042,0.9964,-0.0545,0.0461,False
accuracy,min_level within 50/50,100,50,-0.0013,0.9999,-0.0516,0.0489,False
accuracy,min_level within 50/50,100,75,0.0001,1.0,-0.0502,0.0504,False
accuracy,min_level within 50/50,25,50,0.0029,0.9989,-0.0474,0.0531,False
accuracy,min_level within 50/50,25,75,0.0043,0.9962,-0.046,0.0546,False
accuracy,min_level within 50/50,50,75,0.0014,0.9999,-0.0489,0.0517,False
accuracy,min_level within 80/20,100,25,-0.0046,0.906,-0.022,0.0129,False
accuracy,min_level within 80/20,100,50,-0.0012,0.9982,-0.0186,0.0163,False
accuracy,min_level within 80/20,100,75,-0.0017,0.9938,-0.0192,0.0157,False
accuracy,min_level within 80/20,25,50,0.0034,0.9581,-0.014,0.0208,False
accuracy,min_level within 80/20,25,75,0.0028,0.9756,-0.0146,0.0202,False
accuracy,min_level within 80/20,50,75,-0.0006,0.9998,-0.018,0.0168,False
accuracy,min_level within 90/10,100,25,-0.0011,0.9625,-0.0071,0.0049,False
accuracy,min_level within 90/10,100,50,0.0001,1.0,-0.0059,0.0061,False
accuracy,min_level within 90/10,100,75,0.0006,0.9936,-0.0054,0.0066,False
accuracy,min_level within 90/10,25,50,0.0012,0.9523,-0.0048,0.0072,False
accuracy,min_level within 90/10,25,75,0.0017,0.8779,-0.0043,0.0077,False
accuracy,min_level within 90/10,50,75,0.0005,0.9963,-0.0055,0.0065,False
accuracy,min_level within 95/5,100,25,-0.0007,0.8002,-0.0028,0.0013,False
accuracy,min_level within 95/5,100,50,-0.0002,0.9947,-0.0023,0.0019,False
accuracy,min_level within 95/5,100,75,0.0001,0.9988,-0.002,0.0022,False
accuracy,min_level within 95/5,25,50,0.0005,0.9116,-0.0015,0.0026,False
accuracy,min_level within 95/5,25,75,0.0009,0.7139,-0.0012,0.0029,False
accuracy,min_level within 95/5,50,75,0.0003,0.9784,-0.0018,0.0024,False
minority_recall,imbalance,50/50,80/20,-0.3899,0.0,-0.4325,-0.3472,True
minority_recall,imbalance,50/50,90/10,-0.5011,0.0,-0.5438,-0.4585,True
minority_recall,imbalance,50/50,95/5,-0.5753,0.0,-0.618,-0.5327,True
minority_recall,imbalance,80/20,90/10,-0.1113,0.0,-0.154,-0.0686,True
minority_recall,imbalance,80/20,95/5,-0.1855,0.0,-0.2282,-0.1428,True
minority_recall,imbalance,90/10,95/5,-0.0742,0.0001,-0.1169,-0.0315,True
minority_recall,min_level,100,25,-0.0006,1.0,-0.068,0.0668,False
minority_recall,min_level,100,50,-0.0006,1.0,-0.0681,0.0668,False
minority_recall,min_level,100,75,0.0007,1.0,-0.0667,0.0681,False
minority_recall,min_level,25,50,-0.0,1.0,-0.0675,0.0674,False
minority_recall,min_level,25,75,0.0013,1.0,-0.0661,0.0687,False
minority_recall,min_level,50,75,0.0014,1.0,-0.0661,0.0688,False
minority_recall,min_level within 50/50,100,25,-0.0011,1.0,-0.0641,0.062,False
minority_recall,min_level within 50/50,100,50,-0.0029,0.9994,-0.0659,0.0602,False
minority_recall,min_level within 50/50,100,75,0.002,0.9998,-0.061,0.065,False
minority_recall,min_level within 50/50,25,50,-0.0018,0.9999,-0.0648,0.0612,False
minority_recall,min_level within 50/50,25,75,0.0031,0.9993,-0.06,0.0661,False
minority_recall,min_level within 50/50,50,75,0.0049,0.9972,-0.0582,0.0679,False
minority_recall,min_level within 80/20,100,25,-0.0018,1.0,-0.1174,0.1138,False
minority_recall,min_level within 80/20,100,50,-0.0009,1.0,-0.1165,0.1147,False
minority_recall,min_level within 80/20,100,75,-0.0047,0.9996,-0.1203,0.1109,False
minority_recall,min_level within 80/20,25,50,0.0009,1.0,-0.1147,0.1165,False
minority_recall,min_level within 80/20,25,75,-0.0029,0.9999,-0.1185,0.1127,False
