DV,Factor,group1,group2,meandiff,p-adj,lower,upper,reject
accuracy,imbalance,50/50,80/20,0.1141,0.0,0.1009,0.1274,True
accuracy,imbalance,50/50,90/10,0.1909,0.0,0.1776,0.2041,True
accuracy,imbalance,50/50,95/5,0.2346,0.0,0.2213,0.2478,True
accuracy,imbalance,80/20,90/10,0.0768,0.0,0.0635,0.09,True
accuracy,imbalance,80/20,95/5,0.1204,0.0,0.1072,0.1337,True
accuracy,imbalance,90/10,95/5,0.0437,0.0,0.0304,0.0569,True
minority_recall,imbalance,50/50,80/20,-0.3899,0.0,-0.4325,-0.3472,True
minority_recall,imbalance,50/50,90/10,-0.5011,0.0,-0.5438,-0.4585,True
minority_recall,imbalance,50/50,95/5,-0.5753,0.0,-0.618,-0.5327,True
minority_recall,imbalance,80/20,90/10,-0.1113,0.0,-0.154,-0.0686,True
minority_recall,imbalance,80/20,95/5,-0.1855,0.0,-0.2282,-0.1428,True
minority_recall,imbalance,90/10,95/5,-0.0742,0.0001,-0.1169,-0.0315,True
macro_f1,imbalance,50/50,80/20,-0.0761,0.0,-0.1029,-0.0492,True
macro_f1,imbalance,50/50,90/10,-0.1074,0.0,-0.1342,-0.0805,True
macro_f1,imbalance,50/50,95/5,-0.133,0.0,-0.1599,-0.1061,True
macro_f1,imbalance,80/20,90/10,-0.0313,0.0148,-0.0582,-0.0044,True
macro_f1,imbalance,80/20,95/5,-0.0569,0.0,-0.0838,-0.0301,True
balanced_accuracy,imbalance,50/50,80/20,-0.0774,0.0,-0.0999,-0.0548,True
balanced_accuracy,imbalance,50/50,90/10,-0.1197,0.0,-0.1422,-0.0971,True
balanced_accuracy,imbalance,50/50,95/5,-0.1523,0.0,-0.1748,-0.1297,True
balanced_accuracy,imbalance,80/20,90/10,-0.0423,0.0,-0.0648,-0.0197,True
balanced_accuracy,imbalance,80/20,95/5,-0.0749,0.0,-0.0974,-0.0523,True
balanced_accuracy,imbalance,90/10,95/5,-0.0326,0.0012,-0.0552,-0.01,True
mcc,imbalance,50/50,80/20,-0.0967,0.0,-0.1459,-0.0475,True
mcc,imbalance,50/50,90/10,-0.1696,0.0,-0.2188,-0.1204,True
mcc,imbalance,50/50,95/5,-0.2237,0.0,-0.2729,-0.1745,True
mcc,imbalance,80/20,90/10,-0.0729,0.0008,-0.1221,-0.0237,True
mcc,imbalance,80/20,95/5,-0.127,0.0,-0.1762,-0.0778,True
mcc,imbalance,90/10,95/5,-0.0541,0.0247,-0.1033,-0.0049,True
equal_opportunity_diff,imbalance,50/50,95/5,0.0323,0.0002,0.0124,0.0522,True
equal_opportunity_diff,imbalance,80/20,95/5,0.0352,0.0,0.0153,0.0551,True
equal_opportunity_diff,imbalance,90/10,95/5,0.0237,0.0121,0.0038,0.0436,True
equal_opportunity_diff,min_level within 95/5,25,50,-0.0379,0.0244,-0.0723,-0.0035,True
equal_opportunity_diff,min_level within 95/5,25,75,-0.0367,0.0316,-0.0711,-0.0023,True
fnr_diff,imbalance,50/50,95/5,-0.0323,0.0002,-0.0522,-0.0124,True
fnr_diff,imbalance,80/20,95/5,-0.0352,0.0,-0.0551,-0.0153,True
fnr_diff,imbalance,90/10,95/5,-0.0237,0.0121,-0.0436,-0.0038,True
fnr_diff,min_level within 95/5,25,50,0.0379,0.0244,0.0035,0.0723,True
fnr_diff,min_level within 95/5,25,75,0.0367,0.0316,0.0023,0.0711,True
