dataset,classifier,imbalance,min_level,min_type,seed,run_id
adult,logistic_regression,50/50,100,horizontal,11,0
adult,logistic_regression,50/50,100,horizontal,22,1
adult,logistic_regression,50/50,100,horizontal,33,2
adult,logistic_regression,50/50,100,horizontal,44,3
adult,logistic_regression,50/50,100,horizontal,55,4
adult,logistic_regression,50/50,100,vertical,11,5
adult,logistic_regression,50/50,100,vertical,22,6
adult,logistic_regression,50/50,100,vertical,33,7
adult,logistic_regression,50/50,100,vertical,44,8
adult,logistic_regression,50/50,100,vertical,55,9
adult,logistic_regression,50/50,75,horizontal,11,10
adult,logistic_regression,50/50,75,horizontal,22,11
adult,logistic_regression,50/50,75,horizontal,33,12
adult,logistic_regression,50/50,75,horizontal,44,13
adult,logistic_regression,50/50,75,horizontal,55,14
adult,logistic_regression,50/50,75,vertical,11,15
adult,logistic_regression,50/50,75,vertical,22,16
adult,logistic_regression,50/50,75,vertical,33,17
adult,logistic_regression,50/50,75,vertical,44,18
adult,logistic_regression,50/50,75,vertical,55,19
adult,logistic_regression,50/50,50,horizontal,11,20
adult,logistic_regression,50/50,50,horizontal,22,21
adult,logistic_regression,50/50,50,horizontal,33,22
adult,logistic_regression,50/50,50,horizontal,44,23
adult,logistic_regression,50/50,50,horizontal,55,24
adult,logistic_regression,50/50,50,vertical,11,25
adult,logistic_regression,50/50,50,vertical,22,26
adult,logistic_regression,50/50,50,vertical,33,27
adult,logistic_regression,50/50,50,vertical,44,28
adult,logistic_regression,50/50,50,vertical,55,29
adult,logistic_regression,50/50,25,horizontal,11,30
adult,logistic_regression,50/50,25,horizontal,22,31
adult,logistic_regression,50/50,25,horizontal,33,32
adult,logistic_regression,50/50,25,horizontal,44,33
adult,logistic_regression,50/50,25,horizontal,55,34
adult,logistic_regression,50/50,25,vertical,11,35
adult,logistic_regression,50/50,25,vertical,22,36
adult,logistic_regression,50/50,25,vertical,33,37
adult,logistic_regression,50/50,25,vertical,44,38
adult,logistic_regression,50/50,25,vertical,55,39
adult,logistic_regression,80/20,100,horizontal,11,40
adult,logistic_regression,80/20,100,horizontal,22,41
adult,logistic_regression,80/20,100,horizontal,33,42
adult,logistic_regression,80/20,100,horizontal,44,43
adult,logistic_regression,80/20,100,horizontal,55,44
adult,logistic_regression,80/20,100,vertical,11,45
adult,logistic_regression,80/20,100,vertical,22,46
adult,logistic_regression,80/20,100,vertical,33,47
adult,logistic_regression,80/20,100,vertical,44,48
adult,logistic_regression,80/20,100,vertical,55,49
adult,logistic_regression,80/20,75,horizontal,11,50
adult,logistic_regression,80/20,75,horizontal,22,51
adult,logistic_regression,80/20,75,horizontal,33,52
adult,logistic_regression,80/20,75,horizontal,44,53
adult,logistic_regression,80/20,75,horizontal,55,54
adult,logistic_regression,80/20,75,vertical,11,55
adult,logistic_regression,80/20,75,vertical,22,56
adult,logistic_regression,80/20,75,vertical,33,57
adult,logistic_regression,80/20,75,vertical,44,58
adult,logistic_regression,80/20,75,vertical,55,59
adult,logistic_regression,80/20,50,horizontal,11,60
adult,logistic_regression,80/20,50,horizontal,22,61
adult,logistic_regression,80/20,50,horizontal,33,62
adult,logistic_regression,80/20,50,horizontal,44,63
adult,logistic_regression,80/20,50,horizontal,55,64
adult,logistic_regression,80/20,50,vertical,11,65
adult,logistic_regression,80/20,50,vertical,22,66
adult,logistic_regression,80/20,50,vertical,33,67
adult,logistic_regression,80/20,50,vertical,44,68
adult,logistic_regression,80/20,50,vertical,55,69
adult,logistic_regression,80/20,25,horizontal,11,70
adult,logistic_regression,80/20,25,horizontal,22,71
adult,logistic_regression,80/20,25,horizontal,33,72
adult,logistic_regression,80/20,25,horizontal,44,73
adult,logistic_regression,80/20,25,horizontal,55,74
adult,logistic_regression,80/20,25,vertical,11,75
adult,logistic_regression,80/20,25,vertical,22,76
adult,logistic_regression,80/20,25,vertical,33,77
adult,logistic_regression,80/20,25,vertical,44,78
adult,logistic_regression,80/20,25,vertical,55,79
adult,logistic_regression,90/10,100,horizontal,11,80
adult,logistic_regression,90/10,100,horizontal,22,81
adult,logistic_regression,90/10,100,horizontal,33,82
adult,logistic_regression,90/10,100,horizontal,44,83
adult,logistic_regression,90/10,100,horizontal,55,84
adult,logistic_regression,90/10,100,vertical,11,85
adult,logistic_regression,90/10,100,vertical,22,86
adult,logistic_regression,90/10,100,vertical,33,87
adult,logistic_regression,90/10,100,vertical,44,88
adult,logistic_regression,90/10,100,vertical,55,89
adult,logistic_regression,90/10,75,horizontal,11,90
adult,logistic_regression,90/10,75,horizontal,22,91
adult,logistic_regression,90/10,75,horizontal,33,92
adult,logistic_regression,90/10,75,horizontal,44,93
adult,logistic_regression,90/10,75,horizontal,55,94
adult,logistic_regression,90/10,75,vertical,11,95
adult,logistic_regression,90/10,75,vertical,22,96
adult,logistic_regression,90/10,75,vertical,33,97
adult,logistic_regression,90/10,75,vertical,44,98
adult,logistic_regression,90/10,75,vertical,55,99
adult,logistic_regression,90/10,50,horizontal,11,100
adult,logistic_regression,90/10,50,horizontal,22,101
adult,logistic_regression,90/10,50,horizontal,33,102
adult,logistic_regression,90/10,50,horizontal,44,103
adult,logistic_regression,90/10,50,horizontal,55,104
adult,logistic_regression,90/10,50,vertical,11,105
adult,logistic_regression,90/10,50,vertical,22,106
adult,logistic_regression,90/10,50,vertical,33,107
adult,logistic_regression,90/10,50,vertical,44,108
adult,logistic_regression,90/10,50,vertical,55,109
adult,logistic_regression,90/10,25,horizontal,11,110
adult,logistic_regression,90/10,25,horizontal,22,111
adult,logistic_regression,90/10,25,horizontal,33,112
adult,logistic_regression,90/10,25,horizontal,44,113
adult,logistic_regression,90/10,25,horizontal,55,114
adult,logistic_regression,90/10,25,vertical,11,115
adult,logistic_regression,90/10,25,vertical,22,116
adult,logistic_regression,90/10,25,vertical,33,117
adult,logistic_regression,90/10,25,vertical,44,118
adult,logistic_regression,90/10,25,vertical,55,119
adult,logistic_regression,95/5,100,horizontal,11,120
adult,logistic_regression,95/5,100,horizontal,22,121
adult,logistic_regression,95/5,100,horizontal,33,122
adult,logistic_regression,95/5,100,horizontal,44,123
adult,logistic_regression,95/5,100,horizontal,55,124
adult,logistic_regression,95/5,100,vertical,11,125
adult,logistic_regression,95/5,100,vertical,22,126
adult,logistic_regression,95/5,100,vertical,33,127
adult,logistic_regression,95/5,100,vertical,44,128
adult,logistic_regression,95/5,100,vertical,55,129
adult,logistic_regression,95/5,75,horizontal,11,130
adult,logistic_regression,95/5,75,horizontal,22,131
adult,logistic_regression,95/5,75,horizontal,33,132
adult,logistic_regression,95/5,75,horizontal,44,133
