dataset,classifier,imbalance,min_level,min_type,seed,accuracy,minority_recall,macro_f1,balanced_accuracy,mcc,equal_opportunity_diff,fnr_diff,n_test,n_female_pos_test,status,run_id,runtime_sec,exported_at
adult,logistic_regression,50/50,100,horizontal,11,0.8175555555555556,0.8355555555555556,0.8174964243970602,0.8175555555555556,0.6355230635721765,-0.2068684855537124,0.2068684855537124,4500,338,ok,0,0.4,2026-07-14T14:34:29.463399
adult,logistic_regression,50/50,100,horizontal,22,0.8262222222222222,0.8457777777777777,0.8261557407435218,0.8262222222222222,0.652944032961809,-0.1945266272189348,0.1945266272189348,4500,338,ok,1,0.7,2026-07-14T14:34:29.463399
adult,logistic_regression,50/50,100,horizontal,33,0.814,0.8328888888888889,0.8139336133509363,0.8140000000000001,0.6284486086295951,-0.2350492965979502,0.2350492965979502,4500,335,ok,2,1.0,2026-07-14T14:34:29.463399
adult,logistic_regression,50/50,100,horizontal,44,0.8184444444444444,0.8373333333333334,0.8183796440952389,0.8184444444444445,0.6373438472513869,-0.1636998341214627,0.1636998341214627,4500,338,ok,3,1.4,2026-07-14T14:34:29.463399
adult,logistic_regression,50/50,100,horizontal,55,0.8224444444444444,0.8404444444444444,0.8223868977993314,0.8224444444444444,0.645307183515205,-0.1913175636179416,0.1913175636179416,4500,335,ok,4,1.7,2026-07-14T14:34:29.463399
adult,logistic_regression,50/50,100,vertical,11,0.8175555555555556,0.8355555555555556,0.8174964243970602,0.8175555555555556,0.6355230635721765,-0.2068684855537124,0.2068684855537124,4500,338,ok,5,2.0,2026-07-14T14:34:29.463399
adult,logistic_regression,50/50,100,vertical,22,0.8262222222222222,0.8457777777777777,0.8261557407435218,0.8262222222222222,0.652944032961809,-0.1945266272189348,0.1945266272189348,4500,338,ok,6,2.4,2026-07-14T14:34:29.463399
adult,logistic_regression,50/50,100,vertical,33,0.814,0.8328888888888889,0.8139336133509363,0.8140000000000001,0.6284486086295951,-0.2350492965979502,0.2350492965979502,4500,335,ok,7,2.7,2026-07-14T14:34:29.463399
adult,logistic_regression,50/50,100,vertical,44,0.8184444444444444,0.8373333333333334,0.8183796440952389,0.8184444444444445,0.6373438472513869,-0.1636998341214627,0.1636998341214627,4500,338,ok,8,3.1,2026-07-14T14:34:29.463399
adult,logistic_regression,50/50,100,vertical,55,0.8224444444444444,0.8404444444444444,0.8223868977993314,0.8224444444444444,0.645307183515205,-0.1913175636179416,0.1913175636179416,4500,335,ok,9,3.4,2026-07-14T14:34:29.463399
adult,logistic_regression,50/50,75,horizontal,11,0.8168888888888889,0.8359004739336493,0.8168209442844094,0.8168832541571033,0.6342299352187848,-0.2053888138459679,0.2053888138459679,3375,254,ok,10,3.7,2026-07-14T14:34:29.463399
adult,logistic_regression,50/50,75,horizontal,22,0.8305185185185185,0.8578199052132701,0.8303897319762403,0.8305104268212171,0.662016140844044,-0.198750260819908,0.198750260819908,3375,254,ok,11,4.1,2026-07-14T14:34:29.463399
adult,logistic_regression,50/50,75,horizontal,33,0.8231111111111111,0.8470657972732661,0.8230116674608943,0.8231182066935051,0.6469729441331257,-0.2181718807222364,0.2181718807222364,3375,251,ok,12,4.4,2026-07-14T14:34:29.463399
adult,logistic_regression,50/50,75,horizontal,44,0.8180740740740741,0.8406398104265402,0.8179793294436672,0.8180673859483027,0.6367894170056028,-0.1368178873038359,0.1368178873038359,3375,254,ok,13,4.8,2026-07-14T14:34:29.463399
adult,logistic_regression,50/50,75,horizontal,55,0.8142222222222222,0.8393598103141672,0.8141070695842403,0.814229668190259,0.6292486970834126,-0.20911895593115,0.20911895593115,3375,251,ok,14,5.1,2026-07-14T14:34:29.463399
adult,logistic_regression,50/50,75,vertical,11,0.8137777777777778,0.8351111111111111,0.8136929873862593,0.8137777777777777,0.6281275516518213,-0.2133086578693273,0.2133086578693273,4500,338,ok,15,5.6,2026-07-14T14:34:29.463399
adult,logistic_regression,50/50,75,vertical,22,0.8251111111111111,0.8457777777777777,0.825036382205911,0.8251111111111111,0.6507783692050357,-0.201489812086851,0.201489812086851,4500,338,ok,16,6.0,2026-07-14T14:34:29.463399
adult,logistic_regression,50/50,75,vertical,33,0.8126666666666666,0.8364444444444444,0.8125606917214577,0.8126666666666666,0.6260416402703775,-0.2497486458049179,0.2497486458049179,4500,335,ok,17,6.5,2026-07-14T14:34:29.463399
adult,logistic_regression,50/50,75,vertical,44,0.8188888888888889,0.8377777777777777,0.8188242471696692,0.8188888888888889,0.638233371113566,-0.1642228466737639,0.1642228466737639,4500,338,ok,18,6.9,2026-07-14T14:34:29.463399
adult,logistic_regression,50/50,75,vertical,55,0.8222222222222222,0.8475555555555555,0.8221080551251558,0.8222222222222222,0.64527322070371,-0.1961653871633997,0.1961653871633997,4500,335,ok,19,7.4,2026-07-14T14:34:29.463399
adult,logistic_regression,50/50,50,horizontal,11,0.8191111111111111,0.8444444444444444,0.8189949460898461,0.8191111111111111,0.6390429965038121,-0.1929575895620311,0.1929575895620311,2250,169,ok,20,7.7,2026-07-14T14:34:29.463399
adult,logistic_regression,50/50,50,horizontal,22,0.8177777777777778,0.8222222222222222,0.8177741782553729,0.8177777777777777,0.6355806654111837,-0.2155492560223811,0.2155492560223811,2250,169,ok,21,8.0,2026-07-14T14:34:29.463399
adult,logistic_regression,50/50,50,horizontal,33,0.8231111111111111,0.824,0.8231109713469403,0.8231111111111111,0.646223243415315,-0.2292950633180404,0.2292950633180404,2250,167,ok,22,8.4,2026-07-14T14:34:29.463399
adult,logistic_regression,50/50,50,horizontal,44,0.8204444444444444,0.8195555555555556,0.8204443025732762,0.8204444444444445,0.6408899016539781,-0.1567057017652448,0.1567057017652448,2250,169,ok,23,8.7,2026-07-14T14:34:29.463399
adult,logistic_regression,50/50,50,horizontal,55,0.8111111111111111,0.8204444444444444,0.8110946553566445,0.8111111111111111,0.6223306554985464,-0.2110559673971471,0.2110559673971471,2250,167,ok,24,9.0,2026-07-14T14:34:29.463399
adult,logistic_regression,50/50,50,vertical,11,0.8166666666666667,0.8377777777777777,0.8165849224160397,0.8166666666666667,0.6338986159985465,-0.2094835483152186,0.2094835483152186,4500,338,ok,25,9.5,2026-07-14T14:34:29.463399
