"Name","State","dataset","classifier","imbalance","min_level","min_type","seed","accuracy","minority_recall","mcc"
"health-xgboost-95/5-vertical25-s55","finished","health","xgboost","95/5","25","vertical","55","0.9473333333333334","0.013333333333333334","0.0339234732679838"
"health-xgboost-95/5-vertical25-s44","finished","health","xgboost","95/5","25","vertical","44","0.9484444444444444","0.03111111111111111","0.08901639093150746"
"health-xgboost-95/5-vertical25-s33","finished","health","xgboost","95/5","25","vertical","33","0.948","0.008888888888888889","0.02564704021381658"
"health-xgboost-95/5-vertical25-s22","finished","health","xgboost","95/5","25","vertical","22","0.9464444444444444","0.022222222222222223","0.04977602998567008"
"health-xgboost-95/5-horizontal25-s44","finished","health","xgboost","95/5","25","horizontal","44","0.9457777777777778","0","-0.015292593755165404"
"health-xgboost-95/5-horizontal25-s55","finished","health","xgboost","95/5","25","horizontal","55","0.9475555555555556","0.017857142857142856","0.04615086329683844"
"health-xgboost-95/5-horizontal25-s33","finished","health","xgboost","95/5","25","horizontal","33","0.9484444444444444","0.05357142857142857","0.1265517853076411"
"health-xgboost-95/5-horizontal25-s22","finished","health","xgboost","95/5","25","horizontal","22","0.9457777777777778","0.017857142857142856","0.03386500832864552"
"health-xgboost-95/5-horizontal25-s11","finished","health","xgboost","95/5","25","horizontal","11","0.9431111111111112","0.017857142857142856","0.02186896089603587"
"health-xgboost-95/5-vertical50-s55","finished","health","xgboost","95/5","50","vertical","55","0.9486666666666668","0.008888888888888889","0.032480393624335815"
"health-xgboost-95/5-vertical50-s44","finished","health","xgboost","95/5","50","vertical","44","0.9473333333333334","0.03111111111111111","0.07668199214008634"
"health-xgboost-95/5-vertical50-s33","finished","health","xgboost","95/5","50","vertical","33","0.9471111111111112","0.0044444444444444444","0.0044224848175113"
"health-xgboost-95/5-vertical50-s22","finished","health","xgboost","95/5","50","vertical","22","0.9493333333333334","0.03111111111111111","0.10221614099444398"
"health-xgboost-95/5-vertical50-s11","finished","health","xgboost","95/5","50","vertical","11","0.9475555555555556","0.017777777777777778","0.04796105879758762"
"health-xgboost-95/5-horizontal50-s55","finished","health","xgboost","95/5","50","horizontal","55","0.9462222222222222","0","-0.014504591008737626"
"health-xgboost-95/5-horizontal50-s44","finished","health","xgboost","95/5","50","horizontal","44","0.9471111111111112","0.026785714285714284","0.06344047221909231"
"health-xgboost-95/5-horizontal50-s33","finished","health","xgboost","95/5","50","horizontal","33","0.9453576188360728","0.02654867256637168","0.053201572450262934"
"health-xgboost-95/5-horizontal50-s22","finished","health","xgboost","95/5","50","horizontal","22","0.9484444444444444","0.03571428571428571","0.09547032453506477"
